Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
1,21274,species,Steller's Jay,Cyanocitta stelleri,1,"388 S Hemlock St, Cannon Beach US-OR 45.89480, -123.96182",US-OR,22 Jun 2026,L71149652,S361946155,,1
2,7389,species,Brandt's Cormorant,Urile penicillatus,100,Haystack Rock,US-OR,22 Jun 2026,L548476,S361939950,,1
3,6404,species,Pigeon Guillemot,Cepphus columba,100,Haystack Rock,US-OR,22 Jun 2026,L548476,S361939950,,1
4,6378,species,Tufted Puffin,Fratercula cirrhata,3,Haystack Rock,US-OR,22 Jun 2026,L548476,S361939950,,1
5,5806,species,Black Oystercatcher,Haematopus bachmani,5,Haystack Rock,US-OR,22 Jun 2026,L548476,S361939950,,1
6,6591,species,California Gull,Larus californicus,2,Cannon Beach,US-OR,22 Jun 2026,L638805,S361945661,,1
7,6528,species,Western Gull,Larus occidentalis,20,Cannon Beach,US-OR,22 Jun 2026,L638805,S361945661,,1
8,7391,species,Pelagic Cormorant,Urile pelagicus,1,Edmonds Marina,US-WA,20 Feb 2026,L20643239,S361946318,,1
9,32310,species,House Finch,Haemorhous mexicanus,1,Cedarbrook Lodge,US-WA,19 Feb 2026,L58764092,S302318788,,1
10,28249,species,Varied Thrush,Ixoreus naevius,3,Cedarbrook Lodge,US-WA,19 Feb 2026,L58764092,S302318788,,1
11,33386,species,Spotted Towhee,Pipilo maculatus,2,Cedarbrook Lodge,US-WA,18 Feb 2026,L58764092,S301980939,,1
12,27288,species,Pacific Wren,Troglodytes pacificus,1,Cedarbrook Lodge,US-WA,18 Feb 2026,L58764092,S301980939,,1
13,27362,species,Bewick's Wren,Thryomanes bewickii,1,Cedarbrook Lodge,US-WA,17 Feb 2026,L58764092,S301792625,,1
14,25253,species,Bushtit,Psaltriparus minimus,3,Seahurst Park,US-WA,16 Feb 2026,L189242,S301601267,,1
15,4814,species,Anna's Hummingbird,Calypte anna,2,Seahurst Park,US-WA,16 Feb 2026,L189242,S301601267,,1
16,748,species,Barrow's Goldeneye,Bucephala islandica,9,Seahurst Park,US-WA,16 Feb 2026,L189242,S301601267,,1
17,727,species,Harlequin Duck,Histrionicus histrionicus,8,Seahurst Park,US-WA,16 Feb 2026,L189242,S301601267,,1
18,27668,species,American Dipper,Cinclus mexicanus,2,Issaquah Salmon Hatchery,US-WA,16 Feb 2026,L8102503,S301600798,,1
19,6596,species,Glaucous-winged Gull,Larus glaucescens,4,Issaquah Salmon Hatchery,US-WA,16 Feb 2026,L8102503,S301600798,,1
20,22094,species,Chestnut-backed Chickadee,Poecile rufescens,1,Seward Park,US-WA,16 Feb 2026,L195645,S301600392,,1
21,19204,species,Hutton's Vireo,Vireo huttoni,1,Seward Park,US-WA,16 Feb 2026,L195645,S301600392,,1
22,21301,species,Florida Scrub-Jay,Aphelocoma coerulescens,10,Oscar Scherer SP,US-FL,26 Dec 2025,L127350,S290442724,,1
23,8064,species,Golden Eagle,Aquila chrysaetos,1,Burke's Garden,US-VA,05 Oct 2025,L718354,S277646255,,1
24,9133,species,Burrowing Owl,Athene cunicularia,6,Rotunda Meadows Prairie,US-FL,22 Apr 2025,L8957295,S228381185,,1
25,11962,species,Crested Caracara,Caracara plancus,1,The Celery Fields,US-FL,21 Apr 2025,L234146,S228047847,,1
26,5533,species,Gray-headed Swamphen,Porphyrio poliocephalus,4,The Celery Fields,US-FL,21 Apr 2025,L234146,S228047847,N,1
27,5515,species,Purple Gallinule,Porphyrio martinica,5,The Celery Fields,US-FL,21 Apr 2025,L234146,S228047847,,1
29,243,species,Black-bellied Whistling-Duck,Dendrocygna autumnalis,10,The Celery Fields,US-FL,21 Apr 2025,L234146,S228047847,,1
30,13128,species,Nanday Parakeet,Aratinga nenday,9,"1117 Pinellas Bayway S, Saint Petersburg US-FL (27.6759,-82.7256)",US-FL,15 Apr 2025,L42719687,S225978299,N,1
32,33222,species,Seaside Sparrow,Ammospiza maritima,2,Tangier Island,US-VA,12 Jul 2024,L718758,S186665319,,1
33,33957,species,Blue-winged Warbler,Vermivora cyanoptera,1,Sunset Hollow,US-VA,02 Jun 2024,L32782310,S179075332,,1
34,16952,species,Willow Flycatcher,Empidonax traillii,1,Bent Mountain Center (formerly Bent Mountain Elementary School),US-VA,25 May 2024,L718323,S177132255,,1
35,28321,species,Bicknell's Thrush,Catharus bicknelli,1,Tidewater Arboretum (Virginia Tech Display Gardens),US-VA,18 May 2024,L9397150,S175274194,,1
36,33972,species,Tennessee Warbler,Leiothlypis peregrina,1,Paul State Forest,US-VA,12 May 2024,L718652,S173932719,,1
37,33956,species,Golden-winged Warbler,Vermivora chrysoptera,1,Bramble Hill,US-VA,11 May 2024,L14655306,S173435792,,1
38,33964,species,Swainson's Warbler,Limnothlypis swainsonii,1,Little Stony National Recreation Area,US-VA,04 May 2024,L718574,S172054218,,1
39,32498,species,Red Crossbill,Loxia curvirostra,1,Montebello Area,US-VA,12 Jan 2024,L718606,S158727674,,1
40,33310,species,Lincoln's Sparrow,Melospiza lincolnii,1,Harris Teeter Retention Pond,US-VA,03 Dec 2023,L10356384,S155672828,,1
41,33187,species,White-crowned Sparrow,Zonotrichia leucophrys,2,Harris Teeter Retention Pond,US-VA,03 Dec 2023,L10356384,S155672828,,1
42,17323,species,Ash-throated Flycatcher,Myiarchus cinerascens,1,Harris Teeter Retention Pond,US-VA,03 Dec 2023,L10356384,S155672828,,1
43,12114,species,Peregrine Falcon,Falco peregrinus,1,Chesapeake Bay Bridge-Tunnel (Northampton Co.),US-VA,02 Dec 2023,L718370,S155591825,,1
44,6207,species,Purple Sandpiper,Calidris maritima,3,CBBT--North Chesapeake Island (#4),US-VA,02 Dec 2023,L132239,S155591278,,1
45,737,species,Black Scoter,Melanitta americana,3,CBBT--North Chesapeake Island (#4),US-VA,02 Dec 2023,L132239,S155591278,,1
47,8479,species,Broad-winged Hawk,Buteo platypterus,1,"Raymond R. ""Andy"" Guest Jr. Shenandoah River State Park",US-VA,11 Jul 2023,L418815,S144312436,,1
48,1283,species,Ruffed Grouse,Bonasa umbellus,5,Briery Branch Gap,US-VA,15 Jun 2023,L4225264,S141856481,,1
49,34006,species,Mourning Warbler,Geothlypis philadelphia,1,Paddy Knob Lookout,US-WV,13 Jun 2023,L718647,S141567263,,1
50,33564,species,Bobolink,Dolichonyx oryzivorus,,Powhatan State Park,US-VA,10 May 2023,L1085755,S136926420,,1
51,6064,species,American Woodcock,Scolopax minor,3,Chesterfield State Forest,US-VA,19 Apr 2023,L23696409,S134295770,,1
52,6606,species,Iceland Gull,Larus glaucoides,1,Leeward Marina,US-VA,07 Apr 2023,L23483189,S133172407,,1
53,6227,species,Pectoral Sandpiper,Calidris melanotos,1,Messick Point,US-VA,07 Apr 2023,L2153527,S133214339,,1
54,6061,species,Long-billed Dowitcher,Limnodromus scolopaceus,3,Messick Point,US-VA,07 Apr 2023,L2153527,S133214339,,1
55,5770,species,Black-necked Stilt,Himantopus mexicanus,1,Messick Point,US-VA,07 Apr 2023,L2153527,S133214339,,1
56,7560,species,American Bittern,Botaurus lentiginosus,1,Princess Anne WMA--Whitehurst Tract,US-VA,06 Apr 2023,L473385,S132850574,,1
57,33221,species,LeConte's Sparrow,Ammospiza leconteii,1,**Back Bay NWR,US-VA,05 Apr 2023,L718307,S132817533,,1
58,27303,species,Sedge Wren,Cistothorus stellaris,1,**Back Bay NWR,US-VA,05 Apr 2023,L718307,S132817533,,1
60,7791,species,American White Pelican,Pelecanus erythrorhynchos,50,Hog Island WMA,US-VA,09 Oct 2022,L718515,S120351263,,1
61,6718,species,Caspian Tern,Hydroprogne caspia,3,Hog Island WMA,US-VA,09 Oct 2022,L718515,S120351263,,1
63,32943,species,Grasshopper Sparrow,Ammodramus savannarum,1,"stakeout Scissor-tailed Flycatcher, Leedstown Road (2022)",US-VA,17 Jun 2022,L19488644,S113143186,,1
64,17489,species,Scissor-tailed Flycatcher,Tyrannus forficatus,1,"stakeout Scissor-tailed Flycatcher, Leedstown Road (2022)",US-VA,17 Jun 2022,L19488644,S113143186,,1
65,24281,species,Cliff Swallow,Petrochelidon pyrrhonota,50,Watkins Bridge Boat Ramp,US-VA,24 Apr 2022,L718723,S107938500,,1
66,6462,species,Bonaparte's Gull,Chroicocephalus philadelphia,5,Goose Point Recreation Area,US-VA,07 Apr 2022,L718434,S106470204,,1
67,11426,species,Red-cockaded Woodpecker,Leuconotopicus borealis,4,Big Woods WMA,US-VA,20 Mar 2022,L2908444,S105256365,,1
68,31883,species,American Pipit,Anthus rubescens,1,Mason Neck SP--Visitors Center,US-VA,13 Mar 2022,L521963,S104745644,,1
70,22710,species,Horned Lark,Eremophila alpestris,2,Curles Neck Farm (restricted access),US-VA,27 Feb 2022,L1810089,S103874361,,1
71,8324,species,Northern Harrier,Circus hudsonius,1,Curles Neck Farm (restricted access),US-VA,27 Feb 2022,L1810089,S103874361,,1
72,741,species,Long-tailed Duck,Clangula hyemalis,2,Grandview Nature Preserve,US-VA,26 Feb 2022,L718480,S103873420,,1
73,666,species,Canvasback,Aythya valisineria,,York River State Park,US-VA,19 Feb 2022,L718829,S103030582,,1
74,6512,species,Heermann's Gull,Larus heermanni,1,Hopewell City Marina,US-VA,11 Feb 2022,L5106232,S102447217,,1
75,17467,species,Western Kingbird,Tyrannus verticalis,1,James River Park--Huguenot Flatwater,US-VA,11 Feb 2022,L2403273,S102447239,,1
78,512,species,Eurasian Wigeon,Mareca penelope,1,"First Overlook, Henricus Park Road",US-VA,13 Jan 2021,L13265087,S79202815,,1
79,32085,species,Evening Grosbeak,Hesperiphona vespertina,4,James River Park--Pony Pasture,US-VA,01 Jan 2021,L3542266,S78424594,,1
80,34083,species,Bay-breasted Warbler,Setophaga castanea,1,Echo Lake Corner 1,US-VA,19 May 2020,L4556911,S69321413,,1
84,6927,species,Red-throated Loon,Gavia stellata,1,Grandview Nature Preserve,US-VA,04 Jan 2020,L718480,S63052665,,1
85,728,species,Surf Scoter,Melanitta perspicillata,75,Grandview Nature Preserve,US-VA,04 Jan 2020,L718480,S63052665,,1
86,8388,species,Mississippi Kite,Ictinia mississippiensis,2,6 Worthington Ct,US-AR,09 Aug 2019,L9768923,S58858995,,1
87,32483,species,Redpoll,Acanthis flammea,1,Úlfljótsvatn--skátabúðir (Scout Centre),IS-8,22 Jul 2019,L9729626,S58674558,,1
88,6933,species,Common Loon,Gavia immer,2,Úlfljótsvatn--skátabúðir (Scout Centre),IS-8,22 Jul 2019,L9729626,S58674558,,1
